			GMRT Grid Version 4.1.1
Longitude	Latitude	Distance (km)	Elevation (m)
-87.0718	9.9713	64.881004	-2966.5864
-87.0710	9.9720	65.00138	-2974.4497
-87.0702	9.9727	65.12176	-2976.6113
-87.0693	9.9734	65.242134	-2975.633
-87.0685	9.9741	65.36251	-2976.2515
-87.0677	9.9748	65.48289	-2981.4656
-87.0668	9.9755	65.603264	-2987.4832
-87.0660	9.9762	65.72364	-2987.9749
-87.0652	9.9770	65.84402	-2986.0847
-87.0644	9.9777	65.96439	-2986.4365
-87.0635	9.9784	66.08477	-2996.0527
-87.0627	9.9791	66.20515	-3011.9712
-87.0619	9.9798	66.32552	-3024.7993
-87.0611	9.9805	66.4459	-3029.5105
-87.0602	9.9812	66.56628	-3033.1836
-87.0594	9.9819	66.68665	-3028.205
-87.0586	9.9827	66.80703	-3016.0537
-87.0577	9.9834	66.92741	-3011.9172
-87.0569	9.9841	67.04778	-3022.178
-87.0561	9.9848	67.16816	-3034.9985
-87.0553	9.9855	67.288536	-3041.2356
-87.0544	9.9862	67.40891	-3042.5164
-87.0536	9.9869	67.52929	-3042.4744
-87.0528	9.9877	67.649666	-3040.9353
-87.0520	9.9884	67.77004	-3039.131
-87.0511	9.9891	67.89042	-3039.1746
-87.0503	9.9898	68.010796	-3039.8335
-87.0495	9.9905	68.13117	-3038.0696
-87.0487	9.9912	68.25155	-3033.9238
-87.0478	9.9919	68.371925	-3033.6245
-87.0470	9.9926	68.4923	-3039.371
-87.0462	9.9934	68.61268	-3046.551
-87.0453	9.9941	68.733055	-3049.805
-87.0445	9.9948	68.85343	-3049.0781
-87.0437	9.9955	68.97381	-3050.1157
-87.0429	9.9962	69.094185	-3058.3154
-87.0420	9.9969	69.21456	-3069.6172
-87.0412	9.9976	69.33494	-3074.8662
-87.0404	9.9983	69.455315	-3074.683
-87.0396	9.9991	69.57569	-3074.3706
-87.0387	9.9998	69.69607	-3075.4717
-87.0379	10.0005	69.816444	-3074.3418
-87.0371	10.0012	69.93682	-3071.5435
-87.0362	10.0019	70.0572	-3071.012
-87.0354	10.0026	70.177574	-3072.1587
-87.0346	10.0033	70.29795	-3071.3027
-87.0338	10.0040	70.41833	-3068.4866
-87.0329	10.0048	70.538704	-3067.89
-87.0321	10.0055	70.65908	-3069.9358
-87.0313	10.0062	70.77946	-3071.7856
-87.0304	10.0069	70.89983	-3071.1184
-87.0296	10.0076	71.02021	-3069.02
-87.0288	10.0083	71.14059	-3066.1675
-87.0280	10.0090	71.26096	-3065.9055
-87.0271	10.0098	71.38134	-3068.8252
-87.0263	10.0105	71.50172	-3070.0635
-87.0255	10.0112	71.62209	-3069.3257
-87.0247	10.0119	71.74247	-3069.0457
-87.0238	10.0126	71.86285	-3071.7483
-87.0230	10.0133	71.98322	-3075.2742
-87.0222	10.0140	72.1036	-3078.0198
-87.0213	10.0147	72.223976	-3080.4014
-87.0205	10.0155	72.34435	-3083.0571
